Nom,Bonne,Mauvaise,Indices,Heures
,1:beaucoup,1:beaucoup,1:beaucoup,
amelie.cordier, 0.00, 0.00, 0.00,  0.0
guest, 0.00, 0.00, 0.00,  0.0
guest0, 0.00, 0.00, 0.00,  0.1
guest1, 0.00, 0.03, 0.00,  0.0
guest8, 0.02, 0.00, 0.00,  0.4
jacques.bonneville, 0.00, 0.00, 0.00,  0.0
olivier.gluck, 0.00, 0.00, 0.00,  0.0
p0104238, 0.65, 0.07, 0.16,  5.2
p0105813, 0.90, 0.14, 0.13,  5.2
p0204618, 0.84, 0.30, 0.60,  5.2
p0204698, 0.40, 0.05, 0.27,  2.5
p0205984, 0.81, 0.19, 0.28,  5.1
p0300735, 0.74, 0.22, 0.28,  5.2
p0301328, 0.82, 0.13, 0.76,  5.2
p0301360, 0.79, 0.12, 0.17,  5.1
p0301405, 0.89, 0.21, 0.31,  4.8
p0302074, 0.67, 0.11, 0.19,  5.2
p0302659, 0.68, 0.23, 0.47,  5.1
p0302872, 0.76, 0.18, 0.39,  5.1
p0302877, 0.89, 0.14, 0.27,  5.2
p0302935, 0.94, 0.12, 0.29,  5.2
p0303203, 0.78, 1.00, 0.56,  5.1
p0303355, 0.70, 0.24, 0.21,  5.3
p0303360, 0.97, 0.32, 0.84,  5.2
p0303929, 0.86, 0.10, 0.19,  5.0
p0303977, 0.57, 0.22, 0.24,  2.9
p0304036, 0.80, 0.12, 0.43,  5.1
p0304252, 0.84, 0.14, 0.15,  3.1
p0304697, 0.54, 0.11, 0.27,  5.0
p0305063, 0.87, 0.38, 0.35,  5.2
p0305230, 0.81, 0.39, 0.33,  4.9
p0306007, 0.56, 0.24, 0.25,  5.0
p0400417, 0.75, 0.13, 0.40,  5.2
p0401325, 0.66, 0.17, 0.19,  5.1
p0401692, 0.89, 0.32, 0.37,  5.1
p0401877, 0.83, 0.18, 0.41,  5.3
p0401893, 0.83, 0.32, 0.52,  5.4
p0402657, 0.89, 0.27, 1.00,  5.1
p0402732, 0.92, 0.12, 0.76,  5.2
p0403034, 0.81, 0.15, 0.12,  5.2
p0403067, 0.80, 0.09, 0.32,  5.2
p0403748, 0.81, 0.34, 0.27,  5.2
p0404465, 0.79, 0.15, 0.37,  5.2
p0404505, 0.84, 0.24, 0.49,  5.3
p0404506, 0.76, 0.11, 0.09,  5.0
p0404514, 1.00, 0.17, 0.32,  5.2
p0404553, 0.72, 0.21, 0.36,  5.1
p0404584, 0.79, 0.09, 0.81,  5.2
p0404942, 0.54, 0.24, 0.52,  5.1
p0405097, 0.79, 0.24, 0.23,  5.1
p0406307, 0.77, 0.29, 0.44,  5.2
p0407032, 0.82, 0.42, 0.08,  4.9
p0408052, 0.79, 0.28, 0.16,  5.2
p0408251, 0.76, 0.21, 0.47,  5.2
p0507402, 0.90, 0.15, 0.71,  5.0
thierry.excoffier, 0.02, 0.06, 0.01, 13.1
